frame_id,distance_m
822,0.346
1027,0.567
1028,0.6407
1029,0.6775
1030,0.6996
1031,0.788
1032,0.788
1033,0.788
1034,0.788
1035,0.788
1036,0.7712
1037,0.7514
1038,0.7212
1039,0.6526
1040,0.5844
1041,0.5346
1042,0.488
1043,0.4568
1044,0.464
1045,0.4692
1046,0.4702
1047,0.4702
1048,0.4656
1049,0.4622
1050,0.4618
1051,0.465
1052,0.4694
1053,0.4734
1054,0.4758
1055,0.4762
1056,0.475
1057,0.473
1058,0.4708
1059,0.4692
1060,0.4684
1061,0.4684
1062,0.4692
1063,0.4702
1064,0.471
1065,0.4714
1066,0.4716
1067,0.4714
1068,0.4714
1069,0.4716
1070,0.472
1071,0.4726
1072,0.4734
1073,0.474
1074,0.4744
1075,0.475
1076,0.4754
1077,0.4758
1078,0.4762
1079,0.4766
1080,0.4766
1081,0.4766
1082,0.4762
1083,0.4758
1084,0.4754
1085,0.4752
1086,0.475
1087,0.475
1088,0.475
1089,0.4748
1090,0.4746
1091,0.4744
1092,0.474
1093,0.4738
1094,0.4736
1095,0.4734
1096,0.4732
1097,0.473
1098,0.4726
1099,0.4724
1100,0.472
1101,0.4714
1102,0.471
1103,0.4706
1104,0.4702
1105,0.47
1106,0.47
1107,0.4698
1108,0.4696
1109,0.4694
1110,0.4692
1111,0.4688
1112,0.4686
1113,0.4684
1114,0.4682
1115,0.468
1116,0.468
1117,0.468
1118,0.468
1119,0.4678
1120,0.4676
1121,0.4674
1122,0.4672
1123,0.467
1124,0.467
1125,0.467
1126,0.467
1127,0.467
1128,0.467
1129,0.467
1130,0.467
1131,0.4668
1132,0.4666
1133,0.4664
1134,0.466
1135,0.4656
1136,0.4654
1137,0.4652
1138,0.465
1139,0.465
1140,0.465
1141,0.465
1142,0.465
1143,0.4648
1144,0.4646
1145,0.4644
1146,0.4642
1147,0.464
1148,0.464
1149,0.464
1150,0.464
1151,0.464
1152,0.4638
1153,0.4632
1154,0.4616
1155,0.459
1156,0.4552
1157,0.451
1158,0.4482
1159,0.448
1160,0.4504
1161,0.4554
1162,0.4622
1163,0.469
1164,0.4758
1165,0.4824
1166,0.4882
1167,0.493
1168,0.4968
1169,0.499
1170,0.4996
1171,0.4996
1172,0.4992
1173,0.4988
1174,0.4984
1175,0.4982
1176,0.498
1177,0.4978
1178,0.4976
1179,0.4978
1180,0.4982
1181,0.4988
1182,0.5002
1183,0.502
1184,0.5036
1185,0.5054
1186,0.5072
1187,0.5088
1188,0.5102
1189,0.5116
1190,0.5126
1191,0.5136
1192,0.514
1193,0.5138
1194,0.513
1195,0.5116
1196,0.5078
1197,0.5034
1198,0.4944
1199,0.4802
1200,0.4646
1201,0.4502
1202,0.4376
1203,0.4292
1204,0.425
1205,0.4198
1206,0.4164
1207,0.4136
1208,0.4122
1209,0.4128
1210,0.4171
1211,0.4195
1212,0.4175
1213,0.4133
1214,0.4077
1215,0.4004
1216,0.3936
1217,0.3892
1218,0.3862
1219,0.3842
1220,0.3834
1221,0.3838
1222,0.3848
1223,0.386
1224,0.387
1225,0.3876
1226,0.3876
1227,0.3874
1228,0.3872
1229,0.387
1230,0.387
1231,0.3872
1232,0.3874
1233,0.3876
1234,0.3876
1235,0.3876
1236,0.3876
1237,0.3876
1238,0.3878
1239,0.3884
1240,0.3892
1241,0.39
1242,0.391
1243,0.392
1244,0.393
1245,0.394
1246,0.3952
1247,0.3964
1248,0.3978
1249,0.3996
1250,0.4018
1251,0.4044
1252,0.4076
1253,0.411
1254,0.4142
1255,0.4174
1256,0.4204
1257,0.4232
1258,0.4262
1259,0.4294
1260,0.4326
1261,0.436
1262,0.4392
1263,0.442
1264,0.4446
1265,0.4468
1266,0.4482
1267,0.449
1268,0.4494
1269,0.4492
1270,0.4486
1271,0.4474
1272,0.446
1273,0.4444
1274,0.4422
1275,0.4394
1276,0.4366
1277,0.4334
1278,0.4296
1279,0.4258
1280,0.4226
1281,0.4202
1282,0.4186
1283,0.4178
1284,0.4176
1285,0.4174
1286,0.4168
1287,0.4162
1288,0.4156
1289,0.415
1290,0.4146
1291,0.4144
1292,0.4142
1293,0.414
1294,0.4136
1295,0.4128
1296,0.4114
1297,0.4094
1298,0.4068
1299,0.403
1300,0.399
1301,0.3954
1302,0.392
1303,0.3888
1304,0.3856
1305,0.3822
1306,0.3772
1307,0.3712
1308,0.3604
1309,0.3504
1310,0.3404
1311,0.3334
1312,0.3282
1313,0.3256
1314,0.324
1315,0.3232
1316,0.321
1317,0.319
1318,0.3206
1319,0.322
1320,0.3236
1321,0.3256
1322,0.3268
1323,0.3266
1324,0.3262
1325,0.3256
1326,0.3246
1327,0.3238
1328,0.3232
1329,0.323
1330,0.3226
1331,0.3224
1332,0.3224
1333,0.3226
1334,0.3228
1335,0.3234
1336,0.324
1337,0.3246
1338,0.3252
1339,0.3256
1340,0.3258
1341,0.3262
1342,0.3264
1343,0.3266
1344,0.327
1345,0.3276
1346,0.328
1347,0.3284
1348,0.3286
1349,0.3284
1350,0.3278
1351,0.327
1352,0.3262
1353,0.3256
1354,0.3254
1354,0.3254
1355,0.3258
1356,0.3264
1357,0.3274
1358,0.3284
1359,0.3298
1360,0.3314
1361,0.3328
1362,0.3338
1363,0.3344
1364,0.3344
1365,0.334
1366,0.3336
1367,0.3332
1368,0.333
1369,0.3332
1370,0.3334
1371,0.3338
1372,0.3342
1373,0.335
1374,0.3358
1375,0.3372
1376,0.341
1377,0.347
1378,0.3548
1379,0.3638
1380,0.3724
1381,0.3784
1382,0.382
1383,0.3834
1384,0.3832
1385,0.3836
1386,0.3808
1387,0.3766
1388,0.371
1389,0.3642
1390,0.356
1391,0.3506
1392,0.3466
1393,0.344
1394,0.3428
1395,0.3424
1396,0.3422
1397,0.3418
1398,0.3414
1399,0.3406
1400,0.3396
1401,0.3388
1402,0.3382
1403,0.3376
1404,0.3372
1405,0.3366
1406,0.336
1407,0.3356
1408,0.3354
1409,0.3356
1410,0.3366
1411,0.3384
1412,0.3404
1413,0.3426
1414,0.3446
1415,0.346
1416,0.3466
1417,0.347
1418,0.3464
1419,0.3454
1420,0.3444
1421,0.3436
1422,0.3436
1423,0.3444
1424,0.3456
1425,0.3472
1426,0.3486
1427,0.349
1428,0.349
1429,0.3488
1430,0.3482
1431,0.3474
1432,0.347
1433,0.3468
1434,0.3468
1435,0.3466
1436,0.3466
1437,0.346
1438,0.345
1439,0.3436
1440,0.3422
1441,0.341
1442,0.3402
1443,0.3396
1444,0.3396
1445,0.3398
1446,0.34
1447,0.3402
1448,0.3408
1449,0.341
1450,0.3412
1451,0.3412
1452,0.3414
1453,0.3414
1454,0.3416
1455,0.3418
1456,0.342
1457,0.342
1458,0.3418
1459,0.3418
1460,0.3418
1461,0.3418
1462,0.3418
1463,0.342
1464,0.342
1465,0.342
1466,0.342
1467,0.342
1468,0.342
1469,0.3422
1470,0.3424
1471,0.3426
1472,0.3428
1473,0.343
1474,0.343
1475,0.343
1476,0.343
1477,0.343
1478,0.343
1479,0.343
1480,0.343
1481,0.343
1482,0.343
1483,0.343
1484,0.343
1485,0.343
1486,0.343
1487,0.343
1488,0.343
1489,0.343
1490,0.343
1491,0.343
1492,0.343
1493,0.343
1494,0.3432
1495,0.3432
1496,0.3434
1497,0.3436
1498,0.3438
1499,0.3438
1500,0.344
1501,0.344
1502,0.344
1503,0.344
1504,0.344
1505,0.3438
1506,0.3436
1507,0.3434
1508,0.3434
1509,0.3432
1510,0.343
1511,0.3424
1512,0.3416
1513,0.3406
1515,0.3426
1516,0.3442
1517,0.3464
1518,0.3488
1519,0.3514
1520,0.3512
1521,0.3516
1522,0.352
1523,0.353
1524,0.3536
1525,0.3546
1526,0.3554
1527,0.356
1528,0.3562
1529,0.3564
1530,0.3562
1531,0.356
1532,0.356
1533,0.3556
1534,0.3554
1535,0.3552
1536,0.3552
1537,0.355
1538,0.355
1539,0.3548
1540,0.3546
1541,0.3542
1542,0.3538
1543,0.3534
1544,0.3532
1545,0.353
1546,0.3532
1547,0.3534
1548,0.3534
1549,0.3536
1550,0.3538
1551,0.3538
1552,0.3538
1553,0.354
1554,0.3542
1555,0.3544
1556,0.3544
1557,0.3544
1558,0.3544
1559,0.3542
1560,0.354
1561,0.354
1562,0.3538
1563,0.3538
1564,0.3538
1565,0.3538
1566,0.3538
1567,0.354
1568,0.354
1569,0.354
1570,0.354
1571,0.3538
1572,0.3538
1573,0.3536
1574,0.3534
1575,0.3532
1576,0.3532
1577,0.353
1578,0.353
1579,0.353
1580,0.353
1581,0.3532
1582,0.3534
1583,0.3536
1584,0.3536
1585,0.3538
1586,0.3538
1587,0.3538
1588,0.3536
1589,0.3536
1590,0.3534
1591,0.3532
1592,0.353
1593,0.353
1594,0.353
1595,0.353
1596,0.353
1597,0.353
1598,0.353
1599,0.353
1600,0.353
1601,0.353
1602,0.353
1603,0.3528
1604,0.3526
1605,0.3524
1606,0.352
1607,0.3518
1608,0.3518
1609,0.3518
1610,0.3518
1611,0.352
1612,0.352
1613,0.352
1614,0.352
1615,0.352
1616,0.352
1617,0.3518
1618,0.3516
1619,0.3514
1620,0.3514
1621,0.3514
1622,0.3516
1623,0.3518
1624,0.352
1625,0.3522
1626,0.3524
1627,0.3526
1628,0.3528
1629,0.3528
1630,0.3526
1631,0.3524
1632,0.352
1633,0.3516
1634,0.3512
1635,0.3508
1636,0.3502
1637,0.3498
1638,0.3494
1639,0.3492
1640,0.349
1641,0.349
1642,0.3492
1643,0.3494
1644,0.3494
1645,0.3496
1646,0.3496
1647,0.3494
1648,0.3492
1649,0.3494
1650,0.3494
1651,0.3496
1652,0.3498
1653,0.35
1654,0.35
1655,0.35
1656,0.35
1657,0.3498
1658,0.3496
1659,0.3494
1660,0.3492
1661,0.349
1662,0.3492
1663,0.3494
1664,0.3496
1665,0.3496
1666,0.3498
1667,0.3496
1668,0.3494
1669,0.3492
1670,0.3492
1671,0.349
1672,0.3492
1673,0.3494
1674,0.3496
1675,0.3498
1676,0.35
1677,0.35
1678,0.3502
1679,0.3504
1680,0.3506
1681,0.3506
1682,0.3506
1683,0.3504
1684,0.3504
1685,0.3502
1686,0.3502
1687,0.3502
1688,0.3502
1689,0.35
1690,0.35
1691,0.35
1692,0.35
1693,0.35
1694,0.35
1695,0.35
1696,0.35
1697,0.35
1698,0.35
1699,0.35
1700,0.3502
1701,0.3504
1702,0.3506
1703,0.3508
1704,0.351
1705,0.351
1706,0.351
1707,0.351
1708,0.351
1709,0.351
1710,0.351
1711,0.351
1712,0.351
1713,0.351
1714,0.3508
1715,0.3506
1716,0.3504
1717,0.3502
1718,0.35
1719,0.35
1720,0.35
1721,0.35
1722,0.35
1723,0.3502
1724,0.3504
1725,0.3506
1726,0.3506
1727,0.3506
1728,0.3506
1729,0.3506
1730,0.3506
1731,0.3508
1732,0.351
1733,0.351
1734,0.3508
1735,0.3506
1736,0.3504
1737,0.3502
1738,0.35
1738,0.3964
1739,0.3964
1740,0.3962
1741,0.3958
1742,0.3952
1743,0.3482
1744,0.3476
1745,0.3472
1746,0.3468
1747,0.3442
1748,0.3414
1749,0.3388
1750,0.3382
1751,0.3382
1752,0.3406
1753,0.3428
1754,0.3446
1755,0.3442
1756,0.3432
1757,0.3414
1758,0.34
1759,0.3388
1760,0.3378
1761,0.337
1762,0.337
1763,0.3372
1764,0.3374
1765,0.3376
1766,0.3378
1767,0.338
1768,0.338
1769,0.338
1770,0.338
1771,0.3378
1772,0.3384
1773,0.3394
1774,0.3412
1775,0.3432
1776,0.3458
1777,0.347
1778,0.3476
1779,0.347
